Source File,Page,Has_Text,Has_Order_Header,Used_OCR
1.pdf,1,True,True,False
1.pdf,2,True,True,False
1.pdf,3,True,True,False
1.pdf,4,True,True,False
1.pdf,5,True,True,False
1.pdf,6,True,True,False
1.pdf,7,True,True,False
1.pdf,8,True,True,False
1.pdf,9,True,True,False
1.pdf,10,True,True,False
1.pdf,11,True,True,False
1.pdf,12,True,True,False
1.pdf,13,True,True,False
1.pdf,14,True,True,False
1.pdf,15,True,True,False
1.pdf,16,True,True,False
1.pdf,17,True,True,False
1.pdf,18,True,True,False
1.pdf,19,True,True,False
1.pdf,20,True,True,False
1.pdf,21,True,True,False
1.pdf,22,True,True,False
1.pdf,23,True,True,False
1.pdf,24,True,True,False
1.pdf,25,True,True,False
1.pdf,26,True,True,False
1.pdf,27,True,True,False
1.pdf,28,True,True,False
1.pdf,29,True,True,False
1.pdf,30,True,True,False
1.pdf,31,True,True,False
1.pdf,32,True,True,False
1.pdf,33,True,True,False
1.pdf,34,True,True,False
1.pdf,35,True,True,False
1.pdf,36,True,True,False
1.pdf,37,True,True,False
1.pdf,38,True,True,False
1.pdf,39,True,True,False
1.pdf,40,True,True,False
1.pdf,41,True,True,False
1.pdf,42,True,True,False
1.pdf,43,True,True,False
1.pdf,44,True,True,False
1.pdf,45,True,True,False
1.pdf,46,True,True,False
1.pdf,47,True,True,False
1.pdf,48,True,True,False
1.pdf,49,True,True,False
1.pdf,50,True,True,False
1.pdf,51,True,True,False
1.pdf,52,True,True,False
1.pdf,53,True,True,False
1.pdf,54,True,True,False
1.pdf,55,True,True,False
1.pdf,56,True,True,False
1.pdf,57,True,True,False
1.pdf,58,True,True,False
1.pdf,59,True,True,False
1.pdf,60,True,True,False
1.pdf,61,True,True,False
1.pdf,62,True,True,False
1.pdf,63,True,True,False
1.pdf,64,True,True,False
1.pdf,65,True,True,False
1.pdf,66,True,True,False
1.pdf,67,True,True,False
1.pdf,68,True,True,False
1.pdf,69,True,True,False
1.pdf,70,True,True,False
1.pdf,71,True,True,False
1.pdf,72,True,True,False
1.pdf,73,True,True,False
1.pdf,74,True,True,False
1.pdf,75,True,True,False
1.pdf,76,True,True,False
1.pdf,77,True,True,False
1.pdf,78,True,True,False
1.pdf,79,True,True,False
1.pdf,80,True,True,False
10.pdf,1,True,True,False
10.pdf,2,True,True,False
10.pdf,3,True,True,False
10.pdf,4,True,True,False
10.pdf,5,True,True,False
10.pdf,6,True,True,False
10.pdf,7,True,True,False
10.pdf,8,True,True,False
10.pdf,9,True,True,False
10.pdf,10,True,True,False
10.pdf,11,True,True,False
10.pdf,12,True,True,False
10.pdf,13,True,True,False
10.pdf,14,True,True,False
10.pdf,15,True,True,False
10.pdf,16,True,True,False
10.pdf,17,True,True,False
10.pdf,18,True,True,False
10.pdf,19,True,True,False
10.pdf,20,True,True,False
10.pdf,21,True,True,False
10.pdf,22,True,True,False
10.pdf,23,True,True,False
10.pdf,24,True,True,False
10.pdf,25,True,True,False
10.pdf,26,True,True,False
10.pdf,27,True,True,False
10.pdf,28,True,True,False
10.pdf,29,True,True,False
10.pdf,30,True,True,False
10.pdf,31,True,True,False
10.pdf,32,True,True,False
10.pdf,33,True,True,False
10.pdf,34,True,True,False
10.pdf,35,True,True,False
10.pdf,36,True,True,False
10.pdf,37,True,True,False
10.pdf,38,True,True,False
10.pdf,39,True,True,False
10.pdf,40,True,True,False
10.pdf,41,True,True,False
10.pdf,42,True,True,False
10.pdf,43,True,True,False
10.pdf,44,True,True,False
10.pdf,45,True,True,False
10.pdf,46,True,True,False
10.pdf,47,False,False,False
10.pdf,48,True,True,False
10.pdf,49,True,True,False
10.pdf,50,True,True,False
10.pdf,51,True,True,False
10.pdf,52,True,True,False
10.pdf,53,True,True,False
10.pdf,54,True,True,False
10.pdf,55,True,True,False
10.pdf,56,True,True,False
10.pdf,57,True,True,False
10.pdf,58,True,True,False
10.pdf,59,True,True,False
10.pdf,60,True,False,True
10.pdf,61,True,True,False
10.pdf,62,True,True,False
10.pdf,63,True,True,False
10.pdf,64,True,True,False
10.pdf,65,True,True,False
10.pdf,66,True,True,False
10.pdf,67,True,True,False
10.pdf,68,True,True,False
10.pdf,69,True,True,False
10.pdf,70,True,True,False
10.pdf,71,True,True,False
10.pdf,72,True,True,False
10.pdf,73,True,True,False
10.pdf,74,True,False,True
10.pdf,75,True,True,False
10.pdf,76,True,True,False
10.pdf,77,True,True,False
10.pdf,78,True,True,False
10.pdf,79,True,True,False
10.pdf,80,True,True,False
10.pdf,81,True,True,False
10.pdf,82,True,True,False
10.pdf,83,True,True,False
100.pdf,1,True,True,False
100.pdf,2,True,True,False
100.pdf,3,True,True,False
100.pdf,4,True,True,False
100.pdf,5,True,True,False
100.pdf,6,True,True,False
100.pdf,7,True,True,False
100.pdf,8,True,True,False
100.pdf,9,True,True,False
100.pdf,10,True,True,False
100.pdf,11,True,True,False
100.pdf,12,True,True,False
100.pdf,13,True,True,False
100.pdf,14,True,True,False
100.pdf,15,True,True,False
100.pdf,16,True,True,False
